kinematic_control
dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,h4,h5,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.8768,0.1439,0.217,0.7577,-0.0261,0.1516,0.7515,0.0522,0.1516,0.8768,0.1439,0.217,0.7577,-0.0261,0.1516,0.7515,0.0522,0.1516,0.2382,0.004,0.0033,0.0,0.0,0.0,1.0,1.0,0.0352,0.1294,-0.0047,0.0355,-0.0649,-0.1167,-0.1524,0.0043,0.0161,-0.0012,0.0045,-0.0071,-0.0125,-0.019,3.0,3.0
0.05,0.8702,0.159,0.2252,0.7574,-0.0232,0.1529,0.7514,0.0521,0.1529,0.8702,0.159,0.2252,0.7574,-0.0232,0.1529,0.7514,0.0521,0.1529,0.2549,0.0,0.0033,0.0,0.0,0.0,1.0,1.0,0.0395,0.1455,-0.0059,0.0399,-0.072,-0.1292,-0.1714,0.0046,0.0169,-0.0014,0.0047,-0.0091,-0.017,-0.0199,3.0,3.0
0.05,0.8634,0.1746,0.2337,0.7571,-0.0203,0.1544,0.7514,0.052,0.1544,0.8634,0.1746,0.2337,0.7571,-0.0203,0.1544,0.7514,0.052,0.1544,0.2763,0.0,0.0035,0.0,0.0,0.0,1.0,1.0,0.0441,0.1625,-0.0073,0.0446,-0.0811,-0.1462,-0.1913,0.0047,0.0177,-0.0016,0.0049,-0.0095,-0.0178,-0.0208,3.0,3.0
0.05,0.8564,0.1906,0.2425,0.7568,-0.0173,0.1558,0.7513,0.052,0.1558,0.8564,0.1906,0.2425,0.7568,-0.0173,0.1558,0.7513,0.052,0.1558,0.2984,0.0039,0.0038,0.0,0.0,0.0,1.0,1.0,0.0488,0.1802,-0.0089,0.0496,-0.0906,-0.164,-0.2121,0.0049,0.0184,-0.0019,0.0052,-0.0083,-0.0151,-0.0216,3.0,3.0
0.05,0.8493,0.2071,0.2514,0.7565,-0.0142,0.1573,0.7512,0.0519,0.1573,0.8493,0.2071,0.2514,0.7565,-0.0142,0.1573,0.7512,0.0519,0.1573,0.3173,0.0,0.0039,0.0,0.0,0.0,1.0,1.0,0.0537,0.1986,-0.0108,0.0547,-0.0988,-0.1791,-0.2338,0.0051,0.019,-0.0021,0.0054,-0.0101,-0.0191,-0.0223,3.0,3.0
0.05,0.842,0.2238,0.2606,0.7562,-0.0111,0.1588,0.7512,0.0518,0.1588,0.842,0.2238,0.2606,0.7562,-0.0111,0.1588,0.7512,0.0518,0.1588,0.3403,0.0029,0.0041,0.0,0.0,0.0,1.0,1.0,0.0588,0.2176,-0.0129,0.0601,-0.1089,-0.1982,-0.2561,0.0052,0.0196,-0.0024,0.0056,-0.0093,-0.0177,-0.0229,3.0,3.0
0.05,0.8346,0.2407,0.2698,0.7558,-0.0079,0.1604,0.7511,0.0517,0.1604,0.8346,0.2407,0.2698,0.7558,-0.0079,0.1604,0.7511,0.0517,0.1604,0.3614,0.0,0.0043,0.0,0.0,0.0,1.0,1.0,0.064,0.2372,-0.0153,0.0657,-0.1182,-0.2159,-0.279,0.0053,0.02,-0.0026,0.0057,-0.0105,-0.0202,-0.0234,3.0,3.0
0.05,0.8272,0.2578,0.2791,0.7555,-0.0047,0.1619,0.7511,0.0516,0.1619,0.8272,0.2578,0.2791,0.7555,-0.0047,0.1619,0.7511,0.0516,0.1619,0.385,0.0032,0.0045,0.0,0.0,0.0,1.0,1.0,0.0692,0.2573,-0.0178,0.0714,-0.1286,-0.236,-0.3024,0.0053,0.0204,-0.0028,0.0059,-0.0095,-0.0187,-0.0237,3.0,3.0
0.05,0.8197,0.275,0.2885,0.7552,-0.0015,0.1635,0.751,0.0515,0.1635,0.8197,0.275,0.2885,0.7552,-0.0015,0.1635,0.751,0.0515,0.1635,0.4065,0.0031,0.0048,0.0,0.0,0.0,1.0,1.0,0.0745,0.2776,-0.0207,0.0773,-0.1382,-0.2547,-0.3261,0.0053,0.0206,-0.0031,0.006,-0.0101,-0.02,-0.0239,3.0,3.0
0.05,0.8122,0.2922,0.2979,0.7549,0.0017,0.1651,0.7509,0.0514,0.1651,0.8122,0.2922,0.2979,0.7549,0.0017,0.1651,0.7509,0.0514,0.1651,0.4291,0.0034,0.0052,0.0,0.0,0.0,1.0,1.0,0.0798,0.2982,-0.0237,0.0833,-0.1482,-0.2747,-0.35,0.0053,0.0207,-0.0033,0.0061,-0.01,-0.0202,-0.024,3.0,3.0
0.05,0.8048,0.3093,0.3072,0.7546,0.0049,0.1666,0.7509,0.0513,0.1666,0.8048,0.3093,0.3072,0.7546,0.0049,0.1666,0.7509,0.0513,0.1666,0.4515,0.0038,0.0055,0.0,0.0,0.0,1.0,1.0,0.0852,0.319,-0.027,0.0893,-0.1583,-0.2949,-0.3741,0.0053,0.0208,-0.0035,0.0061,-0.0099,-0.0203,-0.024,3.0,3.0
0.05,0.7974,0.3262,0.3164,0.7542,0.0081,0.1681,0.7508,0.0512,0.1681,0.7974,0.3262,0.3164,0.7542,0.0081,0.1681,0.7508,0.0512,0.1681,0.4736,0.0042,0.0059,0.0,0.0,0.0,1.0,1.0,0.0905,0.3398,-0.0305,0.0955,-0.1682,-0.3151,-0.3981,0.0052,0.0207,-0.0036,0.0062,-0.0098,-0.0202,-0.0238,3.0,3.0
0.05,0.7901,0.3429,0.3255,0.7539,0.0112,0.1697,0.7508,0.0511,0.1697,0.7901,0.3429,0.3255,0.7539,0.0112,0.1697,0.7508,0.0511,0.1697,0.4953,0.0046,0.0063,0.0,0.0,0.0,1.0,1.0,0.0957,0.3605,-0.0341,0.1017,-0.178,-0.3353,-0.4219,0.0051,0.0205,-0.0037,0.0062,-0.0096,-0.0201,-0.0235,3.0,3.0
0.05,0.783,0.3594,0.3345,0.7536,0.0143,0.1712,0.7507,0.051,0.1712,0.783,0.3594,0.3345,0.7536,0.0143,0.1712,0.7507,0.051,0.1712,0.5165,0.0051,0.0067,0.0,0.0,0.0,1.0,1.0,0.1008,0.3809,-0.0378,0.1078,-0.1876,-0.3554,-0.4454,0.005,0.0202,-0.0038,0.0061,-0.0093,-0.0199,-0.0231,3.0,3.0
0.05,0.776,0.3754,0.3433,0.7533,0.0173,0.1726,0.7506,0.051,0.1726,0.776,0.3754,0.3433,0.7533,0.0173,0.1726,0.7506,0.051,0.1726,0.5371,0.0055,0.0072,0.0,0.0,0.0,1.0,1.0,0.1057,0.4011,-0.0417,0.114,-0.1969,-0.3753,-0.4686,0.0048,0.0198,-0.0039,0.0061,-0.009,-0.0195,-0.0226,3.0,3.0
0.05,0.7692,0.391,0.3518,0.753,0.0202,0.174,0.7506,0.0509,0.174,0.7692,0.391,0.3518,0.753,0.0202,0.174,0.7506,0.0509,0.174,0.5569,0.006,0.0077,0.0,0.0,0.386,1.0,1.0,0.1106,0.4209,-0.0456,0.12,-0.2059,-0.3948,-0.4911,0.0045,0.0109,-0.003,0.0057,-0.0087,-0.0106,-0.0135,3.0,3.0
0.05,0.7626,0.4061,0.36,0.7527,0.0231,0.1754,0.7505,0.0508,0.1754,0.7626,0.4061,0.36,0.7527,0.0231,0.1754,0.7505,0.0508,0.1754,0.577,0.0068,0.0079,0.0,0.0,0.7751,1.0,1.0,0.1151,0.4318,-0.0486,0.1258,-0.2145,-0.4054,-0.5046,0.004,0.0002,-0.0018,0.0053,-0.0084,0.0019,-0.0016,3.0,3.0
0.05,0.7563,0.4207,0.3679,0.7524,0.0258,0.1767,0.7505,0.0507,0.1767,0.7563,0.4207,0.3679,0.7524,0.0258,0.1767,0.7505,0.0507,0.1767,0.5959,0.008,0.0082,0.0,0.0,0.8138,1.0,1.0,0.1191,0.432,-0.0504,0.1311,-0.2229,-0.4035,-0.5062,0.0039,0.0017,-0.0019,0.0051,-0.0079,0.0025,-0.0018,3.0,3.0
0.05,0.7502,0.4346,0.3755,0.7522,0.0284,0.178,0.7504,0.0506,0.178,0.7502,0.4346,0.3755,0.7522,0.0284,0.178,0.7504,0.0506,0.178,0.6116,0.008,0.0086,0.0,0.0,0.8542,1.0,1.0,0.123,0.4337,-0.0523,0.1361,-0.2308,-0.401,-0.508,0.0036,0.0011,-0.0018,0.0048,-0.0075,0.0025,-0.0014,3.0,3.0
0.05,0.7445,0.4478,0.3827,0.7519,0.0309,0.1792,0.7504,0.0506,0.1792,0.7445,0.4478,0.3827,0.7519,0.0309,0.1792,0.7504,0.0506,0.1792,0.6267,0.0082,0.009,0.0,0.0,0.883,1.0,1.0,0.1266,0.4348,-0.0541,0.1409,-0.2383,-0.3985,-0.5094,0.0034,0.0007,-0.0016,0.0045,-0.007,0.0028,-0.001,3.0,3.0
0.05,0.739,0.4603,0.3896,0.7517,0.0332,0.1803,0.7503,0.0505,0.1803,0.739,0.4603,0.3896,0.7517,0.0332,0.1803,0.7503,0.0505,0.1803,0.6406,0.0083,0.0093,0.0,0.0,0.9011,1.0,1.0,0.13,0.4355,-0.0558,0.1454,-0.2453,-0.3957,-0.5104,0.0032,0.0005,-0.0015,0.0042,-0.0065,0.0029,-0.0007,3.0,3.0
0.05,0.7339,0.472,0.396,0.7515,0.0354,0.1814,0.7503,0.0504,0.1814,0.7339,0.472,0.396,0.7515,0.0354,0.1814,0.7503,0.0504,0.1814,0.6535,0.0084,0.0097,0.0,0.0,0.9136,1.0,1.0,0.1332,0.4361,-0.0573,0.1496,-0.2518,-0.3928,-0.5111,0.003,0.0004,-0.0014,0.0039,-0.0061,0.0028,-0.0005,3.0,3.0
0.05,0.7292,0.483,0.4019,0.7513,0.0374,0.1824,0.7502,0.0504,0.1824,0.7292,0.483,0.4019,0.7513,0.0374,0.1824,0.7502,0.0504,0.1824,0.6652,0.0085,0.01,0.0,0.0,0.9226,1.0,1.0,0.1362,0.4365,-0.0587,0.1535,-0.2579,-0.39,-0.5117,0.0027,0.0003,-0.0013,0.0036,-0.0056,0.0027,-0.0004,3.0,3.0
0.05,0.7248,0.4931,0.4074,0.7511,0.0393,0.1833,0.7502,0.0503,0.1833,0.7248,0.4931,0.4074,0.7511,0.0393,0.1833,0.7502,0.0503,0.1833,0.6759,0.0086,0.0102,0.0,0.0,0.9294,1.0,1.0,0.1389,0.4368,-0.0599,0.1571,-0.2634,-0.3873,-0.5121,0.0025,0.0003,-0.0011,0.0033,-0.0051,0.0026,-0.0003,3.0,3.0
0.05,0.7208,0.5023,0.4125,0.7509,0.0411,0.1842,0.7502,0.0503,0.1842,0.7208,0.5023,0.4125,0.7509,0.0411,0.1842,0.7502,0.0503,0.1842,0.6855,0.0087,0.0105,0.0,0.0,0.9346,1.0,1.0,0.1415,0.4371,-0.0611,0.1603,-0.2686,-0.3847,-0.5124,0.0023,0.0002,-0.001,0.003,-0.0047,0.0024,-0.0003,3.0,3.0
0.05,0.7171,0.5107,0.417,0.7507,0.0426,0.1849,0.7501,0.0502,0.1849,0.7171,0.5107,0.417,0.7507,0.0426,0.1849,0.7501,0.0502,0.1849,0.6941,0.0087,0.0107,0.0,0.0,0.9387,1.0,1.0,0.1437,0.4373,-0.0621,0.1633,-0.2732,-0.3823,-0.5127,0.0021,0.0002,-0.0009,0.0027,-0.0042,0.0022,-0.0002,3.0,3.0
0.05,0.7139,0.5181,0.4211,0.7506,0.044,0.1856,0.7501,0.0502,0.1856,0.7139,0.5181,0.4211,0.7506,0.044,0.1856,0.7501,0.0502,0.1856,0.7016,0.0087,0.0108,0.0,0.0,0.942,1.0,1.0,0.1458,0.4374,-0.063,0.166,-0.2775,-0.3801,-0.5129,0.0019,0.0001,-0.0008,0.0024,-0.0038,0.002,-0.0002,3.0,3.0
0.05,0.711,0.5247,0.4247,0.7505,0.0453,0.1862,0.7501,0.0501,0.1862,0.711,0.5247,0.4247,0.7505,0.0453,0.1862,0.7501,0.0501,0.1862,0.7082,0.0087,0.0109,0.0,0.0,0.9446,1.0,1.0,0.1477,0.4376,-0.0638,0.1684,-0.2813,-0.3782,-0.5131,0.0016,0.0001,-0.0007,0.0021,-0.0034,0.0017,-0.0002,3.0,3.0
0.05,0.7085,0.5305,0.4278,0.7504,0.0463,0.1867,0.7501,0.0501,0.1867,0.7085,0.5305,0.4278,0.7504,0.0463,0.1867,0.7501,0.0501,0.1867,0.7138,0.0086,0.011,0.0,0.0,0.9467,1.0,1.0,0.1493,0.4377,-0.0644,0.1705,-0.2846,-0.3764,-0.5133,0.0014,0.0001,-0.0006,0.0019,-0.003,0.0015,-0.0001,3.0,3.0
0.05,0.7064,0.5354,0.4305,0.7503,0.0473,0.1872,0.7501,0.0501,0.1872,0.7064,0.5354,0.4305,0.7503,0.0473,0.1872,0.7501,0.0501,0.1872,0.7185,0.0086,0.0111,0.0,0.0,0.9483,1.0,1.0,0.1508,0.4378,-0.065,0.1724,-0.2876,-0.3749,-0.5134,0.0012,0.0001,-0.0005,0.0016,-0.0026,0.0013,-0.0001,3.0,3.0
0.05,0.7046,0.5394,0.4327,0.7502,0.048,0.1875,0.75,0.0501,0.1875,0.7046,0.5394,0.4327,0.7502,0.048,0.1875,0.75,0.0501,0.1875,0.7223,0.0085,0.0111,0.0,0.0,0.9497,1.0,1.0,0.152,0.4378,-0.0655,0.174,-0.2902,-0.3736,-0.5135,0.0011,0.0001,-0.0004,0.0013,-0.0022,0.0011,-0.0001,3.0,3.0
0.05,0.7032,0.5427,0.4345,0.7501,0.0486,0.1878,0.75,0.05,0.1878,0.7032,0.5427,0.4345,0.7501,0.0486,0.1878,0.75,0.05,0.1878,0.7254,0.0084,0.0111,0.0,0.0,0.9507,1.0,1.0,0.1531,0.4379,-0.0659,0.1753,-0.2924,-0.3725,-0.5136,0.0009,0.0001,-0.0003,0.0011,-0.0019,0.0009,-0.0001,3.0,3.0
0.05,0.702,0.5453,0.4359,0.7501,0.0491,0.1881,0.75,0.05,0.1881,0.702,0.5453,0.4359,0.7501,0.0491,0.1881,0.75,0.05,0.1881,0.7277,0.0083,0.011,0.0,0.0,0.9515,1.0,1.0,0.1539,0.4379,-0.0662,0.1764,-0.2943,-0.3716,-0.5136,0.0007,0.0,-0.0002,0.0009,-0.0015,0.0007,-0.0,3.0,3.0
0.05,0.7012,0.5472,0.437,0.7501,0.0495,0.1882,0.75,0.05,0.1882,0.7012,0.5472,0.437,0.7501,0.0495,0.1882,0.75,0.05,0.1882,0.7294,0.0082,0.011,0.0,0.0,0.9521,1.0,1.0,0.1546,0.438,-0.0665,0.1773,-0.2958,-0.371,-0.5137,0.0006,0.0,-0.0002,0.0007,-0.0012,0.0005,-0.0,3.0,3.0
0.05,0.7006,0.5485,0.4377,0.75,0.0497,0.1884,0.75,0.05,0.1884,0.7006,0.5485,0.4377,0.75,0.0497,0.1884,0.75,0.05,0.1884,0.7306,0.0081,0.0109,0.0,0.0,0.9525,1.0,1.0,0.1552,0.438,-0.0666,0.178,-0.297,-0.3705,-0.5137,0.0004,0.0,-0.0001,0.0005,-0.001,0.0003,-0.0,3.0,3.0
0.05,0.7003,0.5494,0.4381,0.75,0.0499,0.1884,0.75,0.05,0.1884,0.7003,0.5494,0.4381,0.75,0.0499,0.1884,0.75,0.05,0.1884,0.7313,0.008,0.0108,0.0,0.0,0.9528,1.0,1.0,0.1556,0.438,-0.0668,0.1786,-0.298,-0.3701,-0.5137,0.0003,0.0,-0.0001,0.0004,-0.0007,0.0002,-0.0,3.0,3.0
0.05,0.7001,0.5498,0.4384,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7001,0.5498,0.4384,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7316,0.0079,0.0107,0.0,0.0,0.9529,1.0,1.0,0.1559,0.4381,-0.0668,0.1789,-0.2987,-0.3699,-0.5138,0.0002,0.0,-0.0,0.0002,-0.0005,0.0001,-0.0,3.0,3.0
0.05,0.7,0.55,0.4385,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7,0.55,0.4385,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7317,0.0079,0.0106,0.0,0.0,0.953,1.0,1.0,0.1562,0.4381,-0.0669,0.1792,-0.2993,-0.3698,-0.5138,0.0001,0.0,-0.0,0.0001,-0.0003,0.0,-0.0,3.0,3.0
0.05,0.7,0.55,0.4385,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7,0.55,0.4385,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7317,0.0078,0.0105,0.0,0.0,0.953,1.0,1.0,0.1563,0.4381,-0.0669,0.1793,-0.2996,-0.3697,-0.5138,0.0001,0.0,0.0,0.0001,-0.0002,0.0,0.0,3.0,3.0
0.05,0.7,0.55,0.4385,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7,0.55,0.4385,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7317,0.0077,0.0104,0.0,0.0,0.953,1.0,1.0,0.1563,0.4381,-0.0669,0.1794,-0.2998,-0.3697,-0.5138,0.0,0.0,0.0,0.0,-0.0001,-0.0,0.0,3.0,3.0
0.05,0.7982,0.3888,0.4383,0.75,0.0499,0.1889,0.75,0.0499,0.1889,0.7982,0.3888,0.4383,0.75,0.0499,0.1889,0.75,0.0499,0.1889,0.528,0.0077,0.0104,0.0,0.0,0.953,1.0,1.0,0.1564,0.4381,-0.0668,0.1794,-0.2999,-0.3697,-0.5138,-0.0001,-0.0048,0.0008,-0.0002,-0.0,0.0049,0.0049,3.0,3.0
0.05,0.7981,0.389,0.4377,0.75,0.0498,0.1889,0.75,0.0498,0.1889,0.7981,0.389,0.4377,0.75,0.0498,0.1889,0.75,0.0498,0.1889,0.5283,0.0076,0.0103,0.0,0.0,0.8719,1.0,1.0,0.1562,0.4333,-0.0661,0.1792,-0.3,-0.3649,-0.5089,-0.0003,-0.0041,0.0007,-0.0004,0.0003,0.0041,0.0041,3.0,3.0
0.05,0.7978,0.3894,0.4362,0.75,0.0495,0.1889,0.75,0.0495,0.1889,0.7978,0.3894,0.4362,0.75,0.0495,0.1889,0.75,0.0495,0.1889,0.5284,0.0075,0.0101,0.0,0.0,0.7786,1.0,1.0,0.156,0.4292,-0.0654,0.1789,-0.2997,-0.3607,-0.5048,-0.0005,-0.0028,0.0007,-0.0007,0.0009,0.0029,0.0029,3.0,3.0
